Name,50 FR 15,100 FR 15,200 FR 15,500 FR 15,1000 FR 15,1650 FR 15,100 BK 15,200 BK 15,100 BR 15,200 BR 15,100 FL 15,200 FL 15,200 IM 15,400 IM 15,50 FR 16,100 FR 16,200 FR 16,500 FR 16,1000 FR 16,1650 FR 16,100 BK 16,200 BK 16,100 BR 16,200 BR 16,100 FL 16,200 FL 16,200 IM 16,400 IM 16,50 FR 17,100 FR 17,200 FR 17,500 FR 17,1000 FR 17,1650 FR 17,100 BK 17,200 BK 17,100 BR 17,200 BR 17,100 FL 17,200 FL 17,200 IM 17,400 IM 17,50 FR 18,100 FR 18,200 FR 18,500 FR 18,1000 FR 18,1650 FR 18,100 BK 18,200 BK 18,100 BR 18,200 BR 18,100 FL 18,200 FL 18,200 IM 18,400 IM 18,Top 3 Power Points,Top 3 Ratio,Top 3 Improvement,Top 5 Improvement
Connor Jaeger,23.03,49.63,104.06,276.02,0.0,0.0,56.17,124.08,67.58,0.0,54.27,0.0,117.04,250.77,21.99,47.82,101.61,274.25,0.0,0.0,57.17,0.0,60.98,0.0,52.03,0.0,114.31,241.32,21.03,45.05,98.28,267.31,0.0,0.0,55.26,116.64,57.83,137.21,48.78,113.94,111.92,242.79,21.1,45.88,99.06,267.2,0.0,0.0,55.76,119.08,60.55,133.8,49.79,108.8,113.48,238.57,888.3333333333334,103.46229391702539,13.462293917025393,11.667348654834283
Connor Lamastra,25.68,54.2,125.99,323.64,711.49,0.0,62.21,164.66,69.71,167.12,59.58,137.03,131.1,284.64,24.06,50.66,105.77,281.95,599.62,985.48,63.89,133.03,65.66,141.35,53.65,118.52,122.27,251.66,23.22,48.68,104.06,277.2,589.49,960.09,57.33,122.29,62.91,128.86,53.68,114.77,119.83,246.8,22.41,46.63,100.1,273.84,588.87,1003.34,54.53,114.77,57.78,126.46,50.21,109.67,111.3,234.56,928.3333333333334,96.51373988731109,6.513739887311093,6.153047551311452
Connor Lohman,22.72,47.81,108.24,293.16,0.0,0.0,70.03,0.0,59.23,130.67,58.43,0.0,119.79,258.53,22.39,48.45,112.53,0.0,0.0,0.0,57.92,0.0,57.33,123.76,56.82,0.0,113.06,252.64,22.5,48.19,109.57,0.0,0.0,0.0,0.0,0.0,57.04,122.81,0.0,0.0,112.9,299.74,26.13,57.51,0.0,0.0,0.0,0.0,0.0,0.0,57.03,121.53,0.0,0.0,110.3,235.52,868.0,104.4987701699813,14.498770169981322,15.195562720307336
Connor McCarroll,26.84,48.78,104.84,279.85,606.3,982.84,51.51,110.26,0.0,0.0,53.05,114.31,142.32,259.78,24.8,54.88,116.08,0.0,0.0,0.0,51.2,110.76,0.0,0.0,50.77,126.46,117.63,293.69,21.95,52.39,100.44,0.0,0.0,0.0,50.35,107.89,0.0,0.0,49.89,111.58,118.18,282.13,28.01,52.61,101.35,273.5,0.0,0.0,49.0,105.96,0.0,0.0,50.5,110.9,134.4,0.0,894.6666666666666,99.09505078624589,9.095050786245876,10.268423661017204
Connor Signorin,23.0,57.45,102.58,270.98,552.64,931.14,53.53,113.99,74.86,131.87,60.59,116.61,113.45,238.78,25.69,45.68,96.87,263.97,545.16,914.48,51.13,110.85,72.09,129.88,58.49,113.68,110.46,232.14,21.23,45.26,97.76,264.16,553.44,0.0,50.76,107.99,0.0,147.46,52.47,110.07,109.62,232.3,25.15,52.53,111.2,258.61,0.0,892.11,59.09,127.04,69.08,145.95,58.52,0.0,125.49,224.09,965.5,100.12372353810417,10.123723538104173,10.923970077580865
Connor Wills,24.36,0.0,111.68,290.81,0.0,0.0,53.24,113.27,67.44,0.0,53.02,115.13,117.88,249.51,23.87,52.79,110.85,287.04,0.0,0.0,52.1,110.9,66.49,162.58,52.03,113.49,114.49,242.15,0.0,51.43,105.63,284.48,0.0,0.0,51.54,111.49,66.73,138.54,51.28,113.41,113.27,241.27,0.0,57.34,108.81,0.0,0.0,0.0,51.55,114.98,0.0,0.0,51.44,113.18,115.15,255.07,815.6666666666666,99.00876986414794,9.008769864147938,8.031647695644093
Conor Blackwood,23.68,49.97,108.86,297.14,0.0,1068.45,56.86,125.71,74.89,152.72,60.19,136.32,133.66,270.92,23.64,48.78,104.96,282.58,594.61,1001.59,56.3,120.37,0.0,146.67,58.4,126.25,118.2,250.93,22.99,47.84,101.87,276.87,577.91,983.34,53.7,118.24,65.45,136.83,64.97,128.31,115.94,245.39,22.43,46.79,100.9,282.46,594.61,0.0,52.39,110.93,79.82,136.44,0.0,117.6,112.4,241.18,814.0,99.38700778855774,9.387007788557733,9.906955544094215
Conor Carlucci,23.69,0.0,115.41,0.0,0.0,0.0,66.88,0.0,61.74,152.36,58.31,0.0,0.0,0.0,22.11,48.84,111.37,306.86,0.0,0.0,60.25,135.6,59.91,130.72,56.25,135.41,126.59,274.21,22.41,49.4,108.13,0.0,0.0,0.0,59.17,0.0,58.33,127.28,53.76,0.0,115.81,0.0,22.32,49.36,112.69,297.66,0.0,0.0,56.31,130.28,57.91,126.83,52.02,132.22,116.55,0.0,894.0,94.25410015925925,4.254100159259252,5.342070813070004
Cooper Burrill,21.37,46.71,101.57,284.69,605.31,0.0,54.42,115.24,60.95,0.0,54.04,115.76,113.24,246.41,20.93,45.63,99.82,281.52,0.0,0.0,53.06,126.04,0.0,0.0,51.5,114.23,111.79,250.38,21.14,45.87,99.52,275.69,597.45,0.0,55.12,0.0,0.0,0.0,51.05,141.26,114.62,254.83,21.02,45.71,98.4,286.16,0.0,0.0,49.74,133.99,61.31,0.0,50.23,0.0,0.0,0.0,684.5,106.10324244916431,16.103242449164316,14.527879920816991
Cooper Wozencraft,22.71,47.8,103.23,295.45,0.0,0.0,50.78,111.79,67.69,149.58,50.18,0.0,116.04,0.0,21.5,47.04,104.05,0.0,0.0,0.0,50.42,144.18,68.15,149.45,50.11,0.0,143.27,308.83,21.17,46.03,100.31,309.16,0.0,0.0,49.01,108.32,68.29,152.45,49.33,0.0,116.31,0.0,20.95,46.28,102.5,0.0,0.0,0.0,49.2,108.99,66.71,0.0,49.93,0.0,0.0,0.0,1003.6666666666666,94.22431318265416,4.224313182654165,4.550817545581025
